amount,isCancelled,probBefore,userId,probAfter,loanAmount,shares,orderAmount,contractId,isFilled,createdTime,id_x,outcome,fees_liquidityFee,fees_creatorFee,fees_platformFee,fills_shares,fills_amount,fills_matchedBetId,fills_timestamp,isRedemption,fills_isSale,limitProb,fills,isLiquidityProvision,resolution,question,Accuracy
657.0,False,0.292466434548902,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.21234716660258293,0.0,857.0154880685977,657.0,1197dhejEqXqzoW7dUin,True,1673192884792,8ZZryYZB1A8DO03RmS1K,NO,0,13.86503266881877,0,857.0154880685977,657.0,,1673192884792.0,,,,,,NO,Newsom to Run for President by Summer?,RIGHT
500.0,False,0.25424726904087214,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.2021847871639038,0.0,633.6808529020086,500.0,1197dhejEqXqzoW7dUin,True,1675722551522,AEcJacouyGkpGGe0FACn,NO,0,10.065336836858874,0,633.6808529020086,500.0,,1675722551522.0,,,,,,NO,Newsom to Run for President by Summer?,RIGHT
699.0,False,0.37545717697557984,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.25424726904087214,0.0,987.8047846906768,699.0,1197dhejEqXqzoW7dUin,True,1675722531829,AL3le5USbpRgyn0kvWVt,NO,0,17.614760763404018,0,987.8047846906768,699.0,,1675722531829.0,,,,,,NO,Newsom to Run for President by Summer?,RIGHT
500.0,False,0.26427816190553993,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.2090184209568971,0.0,640.1431106066775,500.0,1197dhejEqXqzoW7dUin,True,1680251996606,KRywEIIZMqhDzXgYhCPi,NO,0,10.402941308759976,0,640.1431106066775,500.0,,1680251996606.0,,,,,,NO,Newsom to Run for President by Summer?,RIGHT
-523.4706496410117,False,0.2507412792515171,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.31,0.0,-750.0,-523.4706496410117,1197dhejEqXqzoW7dUin,True,1680211691890,Re1Vlne7xllGPKkAEUrl,NO,0,11.427599425435453,0,-465.3727498277276,-328.1028035984072,,1680211691890.0,,True,,,,NO,Newsom to Run for President by Summer?,RIGHT
-523.4706496410117,False,0.2507412792515171,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.31,0.0,-750.0,-523.4706496410117,1197dhejEqXqzoW7dUin,True,1680211691890,Re1Vlne7xllGPKkAEUrl,NO,0,11.427599425435453,0,-42.85714285714286,-30.000000000000004,cHsLaskjDYMMeFPtlM0z,1680211691890.0,,True,,,,NO,Newsom to Run for President by Summer?,RIGHT
-523.4706496410117,False,0.2507412792515171,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.31,0.0,-750.0,-523.4706496410117,1197dhejEqXqzoW7dUin,True,1680211691890,Re1Vlne7xllGPKkAEUrl,NO,0,11.427599425435453,0,-82.85360445608148,-55.71545906986138,,1680211691890.0,,True,,,,NO,Newsom to Run for President by Summer?,RIGHT
-523.4706496410117,False,0.2507412792515171,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.31,0.0,-750.0,-523.4706496410117,1197dhejEqXqzoW7dUin,True,1680211691890,Re1Vlne7xllGPKkAEUrl,NO,0,11.427599425435453,0,-158.91650285904808,-109.65238697274317,qLZMRBfHWQBD5DXbTRwK,1680211691890.0,,True,,,,NO,Newsom to Run for President by Summer?,RIGHT
-572.1556735973685,False,0.19187622987109804,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.2507412792515171,0.0,-749.9999999999998,-572.1556735973685,1197dhejEqXqzoW7dUin,True,1680211577587,gIT6gAdVe2CtzAvboVI1,NO,0,13.236491494406003,0,-749.9999999999998,-572.1556735973685,,1680211577585.0,,True,,,,NO,Newsom to Run for President by Summer?,RIGHT
500.0,False,0.2778103593837074,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.21815220391034537,0.0,649.0553723808125,500.0,1197dhejEqXqzoW7dUin,True,1679075665817,mhXSfaeedy6ZYavbtQUo,NO,0,10.853831611773868,0,649.0553723808125,500.0,,1679075665817.0,,,,,,NO,Newsom to Run for President by Summer?,RIGHT
